config,trial_idx,seed,success,branching_ratio,scaling_exponent,correlation_length,max_distance,dynamic_range,mutual_info,avalanche_count,param_connection_p,param_weight_scale,param_inhibitory_fraction,param_transmission_delay,param_distance_lambda,param_v_noise_amp,param_i_noise_amp
"{'connection_p': 0.15, 'weight_scale': 1.5, 'inhibitory_fraction': 0.5, 'transmission_delay': 0.5, 'distance_lambda': 0.5, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",20,62,True,,1.1398904474488023,,186.67619023324855,2.3124986281089033,0.010685807581073868,261,0.15,1.5,0.5,0.5,0.5,0.3,0.01
"{'connection_p': 0.2, 'weight_scale': 0.2, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",19,61,True,0.983380749121289,1.6570143060179177,21.108681342663033,186.67619023324855,4.1192342893141465,0.07838749867833171,559,0.2,0.2,0.2,2.0,0.1,0.1,0.01
"{'connection_p': 0.08, 'weight_scale': 0.8, 'inhibitory_fraction': 0.1, 'transmission_delay': 3.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",22,64,True,,1.4044460370712204,21.055338222598294,186.67619023324855,1.438349884606282,0.019760879073589,18,0.08,0.8,0.1,3.0,0.2,0.05,0.05
"{'connection_p': 0.4, 'weight_scale': 0.8, 'inhibitory_fraction': 0.45, 'transmission_delay': 1.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",23,65,True,,1.254357527158321,,186.67619023324855,3.16599840053612,0.013657424148621087,152,0.4,0.8,0.45,1.0,0.2,0.05,0.05
"{'connection_p': 0.3, 'weight_scale': 0.5, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",24,66,True,,1.2110459839383536,3.3671944072715987,186.67619023324855,3.242699475987834,0.01758981304244386,351,0.3,0.5,0.25,3.0,0.5,0.3,0.01
"{'connection_p': 0.05, 'weight_scale': 0.3, 'inhibitory_fraction': 0.3, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",25,67,True,,,958465.39469419,186.67619023324855,1.9629759447293176,0.008704153640001157,0,0.05,0.3,0.3,0.5,0.2,0.05,0.05
"{'connection_p': 0.4, 'weight_scale': 0.2, 'inhibitory_fraction': 0.1, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",21,63,True,1.08423564338263,1.6131933034415011,33.54289608489882,186.67619023324855,0.7023323583607793,0.172425154245727,287,0.4,0.2,0.1,3.0,0.1,0.2,0.05
"{'connection_p': 0.15, 'weight_scale': 0.5, 'inhibitory_fraction': 0.1, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.01}",26,68,True,,,36.903546178145035,186.67619023324855,1.0008241943672715,0.0,0,0.15,0.5,0.1,2.0,0.05,0.05,0.01
"{'connection_p': 0.02, 'weight_scale': 1.0, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",28,70,True,,,26.610378054365093,186.67619023324855,1.8920313498432642,0.012014427834800305,1,0.02,1.0,0.25,3.0,0.5,0.1,0.05
"{'connection_p': 0.15, 'weight_scale': 0.8, 'inhibitory_fraction': 0.35, 'transmission_delay': 1.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",29,71,True,,,1324.1551963424888,186.67619023324855,0.27782367125727203,0.0,0,0.15,0.8,0.35,1.0,0.1,0.05,0.02
"{'connection_p': 0.25, 'weight_scale': 0.3, 'inhibitory_fraction': 0.3, 'transmission_delay': 3.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",16,58,True,,,23.40052826577385,186.67619023324855,0.24747042403053962,0.0,0,0.25,0.3,0.3,3.0,0.05,0.1,0.05
"{'connection_p': 0.25, 'weight_scale': 2.0, 'inhibitory_fraction': 0.45, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",30,72,True,,1.208665954867161,130373.19651557333,186.67619023324855,2.332309238202913,0.014527902341471732,109,0.25,2.0,0.45,1.0,0.5,0.1,0.01
"{'connection_p': 0.25, 'weight_scale': 0.5, 'inhibitory_fraction': 0.35, 'transmission_delay': 0.5, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",31,73,True,,,1089063.4332852338,186.67619023324855,1.8981090616903729,0.008578198391532494,1,0.25,0.5,0.35,0.5,0.5,0.1,0.05
"{'connection_p': 0.4, 'weight_scale': 1.5, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",4,46,True,,,12.876138976351854,186.67619023324855,0.9612079052646728,0.0,1,0.4,1.5,0.2,2.0,0.05,0.3,0.01
"{'connection_p': 0.02, 'weight_scale': 0.3, 'inhibitory_fraction': 0.2, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.1, 'i_noise_amp': 0.02}",34,76,True,,1.0921327078582925,1421082.1461939313,186.67619023324855,3.472405878263456,0.00930728496447008,101,0.02,0.3,0.2,0.5,0.2,0.1,0.02
"{'connection_p': 0.05, 'weight_scale': 0.1, 'inhibitory_fraction': 0.1, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",35,77,True,,1.8482569658706443,354456.0137211571,186.67619023324855,3.571248592248183,0.008669358459429682,11,0.05,0.1,0.1,0.5,0.05,0.05,0.05
"{'connection_p': 0.08, 'weight_scale': 0.5, 'inhibitory_fraction': 0.15, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.2, 'i_noise_amp': 0.02}",36,78,True,,1.3394109790786943,30.779888399928065,186.67619023324855,4.234915510972862,0.018597741556838382,164,0.08,0.5,0.15,0.5,0.2,0.2,0.02
"{'connection_p': 0.02, 'weight_scale': 0.5, 'inhibitory_fraction': 0.4, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",37,79,True,,,63.73320467076563,186.67619023324855,1.8613313587313238,0.010749961838242903,0,0.02,0.5,0.4,0.5,0.2,0.1,0.05
"{'connection_p': 0.02, 'weight_scale': 0.5, 'inhibitory_fraction': 0.45, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",38,80,True,,1.3580989221848507,154.05436967520004,186.67619023324855,3.105507834843633,0.01373004880912583,492,0.02,0.5,0.45,0.5,0.05,0.05,0.02
"{'connection_p': 0.15, 'weight_scale': 1.0, 'inhibitory_fraction': 0.5, 'transmission_delay': 2.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",39,81,True,,1.2716197237322597,9.701864103979664,186.67619023324855,2.926957114528907,0.014390394877752342,247,0.15,1.0,0.5,2.0,0.2,0.05,0.02
"{'connection_p': 0.25, 'weight_scale': 1.0, 'inhibitory_fraction': 0.35, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",32,74,True,,,738972.9394683347,186.67619023324855,0.20170743314355244,0.0,0,0.25,1.0,0.35,3.0,0.1,0.05,0.05
"{'connection_p': 0.02, 'weight_scale': 1.0, 'inhibitory_fraction': 0.35, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",40,82,True,,1.9639204792252751,550146.1246973104,186.67619023324855,3.919937301813674,0.0694994032789466,631,0.02,1.0,0.35,0.5,0.05,0.2,0.05
"{'connection_p': 0.02, 'weight_scale': 0.1, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.05, 'i_noise_amp': 0.01}",42,84,True,,1.2000178839363695,29.49199641581394,186.67619023324855,3.7521207155735836,0.016798048098016126,809,0.02,0.1,0.2,2.0,0.5,0.05,0.01
"{'connection_p': 0.25, 'weight_scale': 0.8, 'inhibitory_fraction': 0.5, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",41,83,True,,1.175729535905257,7.285094861671684,186.67619023324855,2.105263651939833,0.010242331134730743,60,0.25,0.8,0.5,0.5,0.2,0.2,0.05
"{'connection_p': 0.02, 'weight_scale': 0.5, 'inhibitory_fraction': 0.15, 'transmission_delay': 1.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",43,85,True,0.894226742175248,1.9361836850829264,24.49632852021559,186.67619023324855,4.939313557103052,0.3373573108452036,401,0.02,0.5,0.15,1.0,0.05,0.3,0.01
"{'connection_p': 0.3, 'weight_scale': 0.5, 'inhibitory_fraction': 0.35, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",27,69,True,,,35.00967731512605,186.67619023324855,0.29501804582087604,0.0,0,0.3,0.5,0.35,2.0,0.05,0.2,0.05
"{'connection_p': 0.02, 'weight_scale': 0.1, 'inhibitory_fraction': 0.35, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",45,87,True,,1.125267688765083,0.9610863568536627,186.67619023324855,3.0907636485098524,0.017237353266112886,134,0.02,0.1,0.35,1.0,0.5,0.05,0.02
