config,trial_idx,seed,success,branching_ratio,scaling_exponent,correlation_length,max_distance,dynamic_range,mutual_info,avalanche_count,param_connection_p,param_weight_scale,param_inhibitory_fraction,param_transmission_delay,param_distance_lambda,param_v_noise_amp,param_i_noise_amp,critical_score,score_branching,score_scaling,score_correlation_length,score_dynamic_range,score_mutual_info
"{'connection_p': 0.2, 'weight_scale': 0.3, 'inhibitory_fraction': 0.3, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",12,54,True,,1.178844713413302,13.130038805872163,186.67619023324855,4.111831421140791,0.016295382075752884,661,0.2,0.3,0.3,1.0,0.5,0.1,0.01,0.32230390533709463,0.0,0.5260754827708601,0.07033590512783883,0.7740993750967726,0.09450698853677675
"{'connection_p': 0.25, 'weight_scale': 3.0, 'inhibitory_fraction': 0.25, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.01}",14,56,True,,,15.599295386323778,186.67619023324855,0.8658691849514186,0.0,2,0.25,3.0,0.25,0.5,0.2,0.05,0.01,0.04941326627953664,0.0,0.0,0.08356339052576946,0.16300979450185846,0.0
"{'connection_p': 0.15, 'weight_scale': 0.3, 'inhibitory_fraction': 0.35, 'transmission_delay': 3.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.05}",13,55,True,,,576227.1453816622,186.67619023324855,0.147048322398252,0.0,0,0.15,0.3,0.35,3.0,0.05,0.3,0.05,0.2055367062906453,0.0,0.0,1.0,0.027683531453226384,0.0
"{'connection_p': 0.2, 'weight_scale': 0.5, 'inhibitory_fraction': 0.25, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.05}",15,57,True,,,790009.10613356,186.67619023324855,0.4968618024359464,0.0,0,0.2,0.5,0.25,2.0,0.05,0.3,0.05,0.2187079853905301,0.0,0.0,1.0,0.09353992695265038,0.0
"{'connection_p': 0.08, 'weight_scale': 0.2, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",17,59,True,,1.3605963896154591,22.10062121114103,186.67619023324855,4.461867957389637,0.02230384202368666,691,0.08,0.2,0.2,2.0,0.1,0.3,0.01,0.4057740347888159,0.0,0.7566857624546125,0.11839014490025053,0.839997763483545,0.12935376001984578
"{'connection_p': 0.2, 'weight_scale': 0.2, 'inhibitory_fraction': 0.45, 'transmission_delay': 1.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.1, 'i_noise_amp': 0.02}",18,60,True,,1.444939201585716,,186.67619023324855,3.998711203767555,0.006732307886248572,1083,0.2,0.2,0.45,1.0,0.05,0.1,0.02,0.3712661089195842,0.0,0.8957252113292921,0.0,0.7528031981355249,0.039044812896929224
"{'connection_p': 0.3, 'weight_scale': 2.0, 'inhibitory_fraction': 0.3, 'transmission_delay': 1.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",7,49,True,,,19.982180193113596,186.67619023324855,1.1219430845974763,0.0,199,0.3,2.0,0.3,1.0,0.05,0.3,0.01,0.07001732599565275,0.0,0.0,0.107041932707895,0.2112186399996174,0.0
"{'connection_p': 0.15, 'weight_scale': 1.5, 'inhibitory_fraction': 0.5, 'transmission_delay': 0.5, 'distance_lambda': 0.5, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",20,62,True,,1.1398904474488023,,186.67619023324855,2.3124986281089033,0.010685807581073868,261,0.15,1.5,0.5,0.5,0.5,0.3,0.01,0.2164741874854656,0.0,0.48664561774000403,0.0,0.4353543614963178,0.0619736002430671
"{'connection_p': 0.2, 'weight_scale': 0.2, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",19,61,True,0.983380749121289,1.6570143060179177,21.108681342663033,186.67619023324855,4.1192342893141465,0.07838749867833171,559,0.2,0.2,0.2,2.0,0.1,0.1,0.01,0.6690184582461229,0.9673078274582996,0.7304981268218291,0.11307645241896203,0.7754930498465338,0.45461753548220646
"{'connection_p': 0.08, 'weight_scale': 0.8, 'inhibitory_fraction': 0.1, 'transmission_delay': 3.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",22,64,True,,1.4044460370712204,21.055338222598294,186.67619023324855,1.438349884606282,0.019760879073589,18,0.08,0.8,0.1,3.0,0.2,0.05,0.05,0.2696123167172346,0.0,0.8260434318943793,0.11279070028314821,0.2707858452366532,0.11460554673726622
"{'connection_p': 0.4, 'weight_scale': 0.8, 'inhibitory_fraction': 0.45, 'transmission_delay': 1.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",23,65,True,,1.254357527158321,,186.67619023324855,3.16599840053612,0.013657424148621087,152,0.4,0.8,0.45,1.0,0.2,0.05,0.05,0.283158264650604,0.0,0.6118397080763974,0.0,0.596035472371686,0.07920784069102575
"{'connection_p': 0.3, 'weight_scale': 0.5, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",24,66,True,,1.2110459839383536,3.3671944072715987,186.67619023324855,3.242699475987834,0.01758981304244386,351,0.3,0.5,0.25,3.0,0.5,0.3,0.01,0.2841515655517805,0.0,0.5610708819671459,0.018037621204205795,0.6104753286048847,0.10201419345912963
"{'connection_p': 0.05, 'weight_scale': 0.3, 'inhibitory_fraction': 0.3, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",25,67,True,,,958465.39469419,186.67619023324855,1.9629759447293176,0.008704153640001157,0,0.05,0.3,0.3,0.5,0.2,0.05,0.05,0.28400669530008676,0.0,0.0,1.0,0.36955271179949767,0.0504807647009361
"{'connection_p': 0.4, 'weight_scale': 0.2, 'inhibitory_fraction': 0.1, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",21,63,True,1.08423564338263,1.6131933034415011,33.54289608489882,186.67619023324855,0.7023323583607793,0.172425154245727,287,0.4,0.2,0.1,3.0,0.1,0.2,0.05,0.6499399091831749,0.8449555244769473,0.797409757964614,0.17968491880505796,0.13222211322235677,1.0
"{'connection_p': 0.15, 'weight_scale': 0.5, 'inhibitory_fraction': 0.1, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.01}",26,68,True,,,36.903546178145035,186.67619023324855,1.0008241943672715,0.0,0,0.15,0.5,0.1,2.0,0.05,0.05,0.01,0.07722082084067451,0.0,0.0,0.19768748297270647,0.18841662123066608,0.0
"{'connection_p': 0.02, 'weight_scale': 1.0, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",28,70,True,,,26.610378054365093,186.67619023324855,1.8920313498432642,0.012014427834800305,1,0.02,1.0,0.25,3.0,0.5,0.1,0.05,0.1137984833949777,0.0,0.0,0.14254832403166093,0.35619657898592255,0.06967908996432313
"{'connection_p': 0.15, 'weight_scale': 0.8, 'inhibitory_fraction': 0.35, 'transmission_delay': 1.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",29,71,True,,,1324.1551963424888,186.67619023324855,0.27782367125727203,0.0,0,0.15,0.8,0.35,1.0,0.1,0.05,0.02,0.2104606978390023,0.0,0.0,1.0,0.052303489195011335,0.0
"{'connection_p': 0.25, 'weight_scale': 0.3, 'inhibitory_fraction': 0.3, 'transmission_delay': 3.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",16,58,True,,,23.40052826577385,186.67619023324855,0.24747042403053962,0.0,0,0.25,0.3,0.3,3.0,0.05,0.1,0.05,0.034388544013246584,0.0,0.0,0.12535357742481948,0.04658914264141344,0.0
"{'connection_p': 0.25, 'weight_scale': 2.0, 'inhibitory_fraction': 0.45, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",30,72,True,,1.208665954867161,130373.19651557333,186.67619023324855,2.332309238202913,0.014527902341471732,109,0.25,2.0,0.45,1.0,0.5,0.1,0.01,0.4579842774437631,0.0,0.5584064982884278,1.0,0.43908393582059885,0.08425628154444154
"{'connection_p': 0.25, 'weight_scale': 0.5, 'inhibitory_fraction': 0.35, 'transmission_delay': 0.5, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",31,73,True,,,1089063.4332852338,186.67619023324855,1.8981090616903729,0.008578198391532494,1,0.25,0.5,0.35,0.5,0.5,0.1,0.05,0.2816996282640587,0.0,0.0,1.0,0.3573407778746892,0.049750272395334555
"{'connection_p': 0.4, 'weight_scale': 1.5, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.01}",4,46,True,,,12.876138976351854,186.67619023324855,0.9612079052646728,0.0,1,0.4,1.5,0.2,2.0,0.05,0.3,0.01,0.05003682639488211,0.0,0.0,0.06897579686120307,0.18095840091543086,0.0
"{'connection_p': 0.02, 'weight_scale': 0.3, 'inhibitory_fraction': 0.2, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.1, 'i_noise_amp': 0.02}",34,76,True,,1.0921327078582925,1421082.1461939313,186.67619023324855,3.472405878263456,0.00930728496447008,101,0.02,0.3,0.2,0.5,0.2,0.1,0.02,0.47300289902343,0.0,0.4423142908662167,1.0,0.6537201906250192,0.05397869588799124
"{'connection_p': 0.05, 'weight_scale': 0.1, 'inhibitory_fraction': 0.1, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",35,77,True,,1.8482569658706443,354456.0137211571,186.67619023324855,3.571248592248183,0.008669358459429682,11,0.05,0.1,0.1,0.5,0.05,0.05,0.05,0.4490714161327392,0.0,0.49831945498520175,1.0,0.6723284639931958,0.050278965951074533
"{'connection_p': 0.08, 'weight_scale': 0.5, 'inhibitory_fraction': 0.15, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.2, 'i_noise_amp': 0.02}",36,78,True,,1.3394109790786943,30.779888399928065,186.67619023324855,4.234915510972862,0.018597741556838382,164,0.08,0.5,0.15,0.5,0.2,0.2,0.02,0.3949680047959632,0.0,0.7252941067947382,0.1648838470587446,0.7972713652064564,0.10785979364898418
"{'connection_p': 0.02, 'weight_scale': 0.5, 'inhibitory_fraction': 0.4, 'transmission_delay': 0.5, 'distance_lambda': 0.2, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",37,79,True,,,63.73320467076563,186.67619023324855,1.8613313587313238,0.010749961838242903,0,0.02,0.5,0.4,0.5,0.2,0.1,0.05,0.15083461760967742,0.0,0.0,0.34141046370794337,0.3504169539232209,0.06234567041722282
"{'connection_p': 0.02, 'weight_scale': 0.5, 'inhibitory_fraction': 0.45, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",38,80,True,,1.3580989221848507,154.05436967520004,186.67619023324855,3.105507834843633,0.01373004880912583,492,0.02,0.5,0.45,0.5,0.05,0.05,0.02,0.49333706818423884,0.0,0.7529155900820665,0.8252491626420695,0.5846474303276828,0.07962903596744839
"{'connection_p': 0.15, 'weight_scale': 1.0, 'inhibitory_fraction': 0.5, 'transmission_delay': 2.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.05, 'i_noise_amp': 0.02}",39,81,True,,1.2716197237322597,9.701864103979664,186.67619023324855,2.926957114528907,0.014390394877752342,247,0.15,1.0,0.5,2.0,0.2,0.05,0.02,0.2903550307736305,0.0,0.6333319716429456,0.05197162043995734,0.5510332115374676,0.08345879080522245
"{'connection_p': 0.25, 'weight_scale': 1.0, 'inhibitory_fraction': 0.35, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",32,74,True,,,738972.9394683347,186.67619023324855,0.20170743314355244,0.0,0,0.25,1.0,0.35,3.0,0.1,0.05,0.05,0.20759474705825748,0.0,0.0,1.0,0.03797373529128728,0.0
"{'connection_p': 0.02, 'weight_scale': 1.0, 'inhibitory_fraction': 0.35, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.2, 'i_noise_amp': 0.05}",40,82,True,,1.9639204792252751,550146.1246973104,186.67619023324855,3.919937301813674,0.0694994032789466,631,0.02,1.0,0.35,0.5,0.05,0.2,0.05,0.5580189067031511,0.0,0.395406488486208,1.0,0.7379731085645095,0.40306997887269647
"{'connection_p': 0.02, 'weight_scale': 0.1, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.05, 'i_noise_amp': 0.01}",42,84,True,,1.2000178839363695,29.49199641581394,186.67619023324855,3.7521207155735836,0.016798048098016126,809,0.02,0.1,0.2,2.0,0.5,0.05,0.01,0.3323359637029626,0.0,0.5488312662698467,0.15798477769963176,0.7063797134969446,0.0974222593652249
